MEI_Name,Title,Composer_Name,Composer_VIAF,Editor,Copyright_Owner,Rights_Statement,Genre,Source_Title,Source_Publisher_1,Publisher_1_VIAF,Source_Date,Source_Institution,Source_Shelfmark,Source_Location,Source_Publisher_2,Publisher_2_VIAF
Ror0101.mei,"Cantai mentre chi'i' arsi del mio foco, Cantai mentre chi'i' arsi",,,,,,Madrigal,,,,,,,,,
Ror0102.mei,Hor che'l ciel et la terra e'l vento tace,,,,,,Madrigal,,,,,,,,,
Ror0103.mei,"Poggiand’al ciel coll’ali del desio, Poggiand’al ciel",,,,,,Madrigal,,,,,,,,,
Ror0104.mei,Quand’io son tutto volto,,,,,,Madrigal,,,,,,,,,
Ror0105.mei,"Solea lontana in sonno consolarme, Solea lontana",,,,,,Madrigal,,,,,,,,,
Ror0106.mei,"Altiero sasso lo cui gioco spira, Altiero sasso",,,,,,Madrigal,,,,,,,,,
Ror0107.mei,"Strane rupi aspri monti, Strane rupi",,,,,,,,,,,,,,,
