filename,source_type,mei_version,title,title_subordinate,composer_name,composer_auth,composer_auth_uri,composer_codedval,editors,encoding_date,rights,publisher,distributor,genre,encoding_application,work_title,movement_name,source_title,source_composer,source_editor,source_encoder,edition_version,encoding_annot,humdrum_id
Ror0101.mei,humdrum,5.1,"Cantai mentre chi'i' arsi del mio foco, Cantai mentre chi'i' arsi",,Cipriano de Rore,,,,Jessie Ann Owens [editor]|Scott Metcalfe [editor]|Jessie Ann Owens [encoder]|Scott Metcalfe [encoder],2024-11-09,"Copyright 2024 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Cantai mentre chi'i' arsi del mio foco,Cantai mentre chi'i' arsi,"Cantai mentre chi'i' arsi del mio foco, Cantai mentre chi'i' arsi",Cipriano de Rore,Jessie Ann Owens and Scott Metcalfe,Jessie Ann Owens and Scott Metcalfe,2024/11/09,Translated from MusicXML on 2024/11/09,Ror0101
Ror0102.mei,humdrum,5.1,Hor che'l ciel et la terra e'l vento tace,,Cipriano de Rore,,,,Jessie Ann Owens [editor]|Scott Metcalfe [editor]|Jessie Ann Owens [encoder]|Scott Metcalfe [encoder],2024-11-09,"Copyright 2024 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Hor che'l ciel et la terra e'l vento tace,Hor che'l ciel et la terra e'l vento tace,Hor che'l ciel et la terra e'l vento tace,Cipriano de Rore,Jessie Ann Owens and Scott Metcalfe,Jessie Ann Owens and Scott Metcalfe,2024/11/09,Translated from MusicXML on 2024/11/09,Ror0102
Ror0103.mei,humdrum,5.1,"Poggiand’al ciel coll’ali del desio, Poggiand’al ciel",,Cipriano de Rore,,,,Jessie Ann Owens [editor]|Scott Metcalfe [editor]|Jessie Ann Owens [encoder]|Scott Metcalfe [encoder],2025-10-28,"Copyright 2025 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Poggiand’al ciel coll’ali del desio,Poggiand’al ciel,"Poggiand’al ciel coll’ali del desio, Poggiand’al ciel",Cipriano de Rore,Jessie Ann Owens and Scott Metcalfe,Jessie Ann Owens and Scott Metcalfe,2025/10/28,Translated from MusicXML on 2025/10/28,Ror0103
Ror0104.mei,humdrum,5.1,Quand’io son tutto volto,,Cipriano de Rore,,,,Jessie Ann Owens [editor]|Scott Metcalfe [editor]|Jessie Ann Owens [encoder]|Scott Metcalfe [encoder],2025-10-28,"Copyright 2025 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Quand’io son tutto volto,Quand’io son tutto volto,Quand’io son tutto volto,Cipriano de Rore,Jessie Ann Owens and Scott Metcalfe,Jessie Ann Owens and Scott Metcalfe,2025/10/28,Translated from MusicXML on 2025/10/28,Ror0104
Ror0105.mei,humdrum,5.1,"Solea lontana in sonno consolarme, Solea lontana",,Cipriano de Rore,,,,Benjamin Ory [editor]|Janosch Umbreit [encoder],2026-03-27,"Copyright 2026 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Solea lontana in sonno consolarme,Solea lontana,"Solea lontana in sonno consolarme, Solea lontana",Cipriano de Rore,Benjamin Ory,Janosch Umbreit,2026/03/30,Translated from MusicXML on 2026/03/30,Ror0105
Ror0106.mei,humdrum,5.1,"Altiero sasso lo cui gioco spira, Altiero sasso",,Cipriano de Rore,,,,Benjamin Ory [editor]|Janosch Umbreit [encoder],2026-03-27,"Copyright 2026 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,Madrigal,Verovio 5.8.0-dev-4624022,Altiero sasso lo cui gioco spira,Altiero sasso,"Altiero sasso lo cui gioco spira, Altiero sasso",Cipriano de Rore,Benjamin Ory,Janosch Umbreit,2026/03/31,Translated from MusicXML on 2026/03/31,Ror0106
Ror0107.mei,humdrum,5.1,"Strane rupi aspri monti, Strane rupi",,Cipriano de Rore,,,,Benjamin Ory [editor]|Janosch Umbreit [encoder],2025-03-27,"Copyright 2026 Jessie Ann Owens and Scott Metcalfe, All Rights Reserved",,,,Verovio 5.8.0-dev-4624022,Strane rupi aspri monti,Strane rupi,"Strane rupi aspri monti, Strane rupi",Cipriano de Rore,Benjamin Ory,Janosch Umbreit,2026/04/01,Translated from MusicXML on 2026/04/01,Ror0107
